name,address
20 Palli Sarbojanin Durgotsab,North Kolkata
21 Palli,"17 Bondel Rd Ballygunge, Kolkata"
22 Palli,"17 Priyanath Mallick Rd Bakul Bagan, Kolkata"
22 Pally Club,"Bhawanipore, Kolkata"
22 Pally Sarodotsav (Northern Park),"Padmapukur, Kolkata"
23 Pally Durga Mandir Society,"Bhawanipore, Kolkata"
24 Palli Udayan Sangha,"16 Haralal Das St Entally, Kolkata"
25 Palli,"10 Gopal Ghosh Lane, Kolkata"
26 Palli,"22/1B Mohan Chandra Rd, Kolkata"
2er Pally Sarbojanin Durgotsab Committee,"Ahiritola, Kolkata"
37 Palli,"10 Dr Kartik Bose St, Kolkata"
37 Palli Sarbojanin Durgotsav,"Sealdah, Kolkata"
59 No. Howrah Maidan Sarbojanin Durga Puja,"engal theme in Howrah Maidan, Howrah"
66 Pally,"9/5A/1, Nepal Bhattacharya St, Kalighat, Kolkata"
68 Pally Durga Puja,"Bhawanipore, Kolkata"
74 Palli,"5B Monilal Banerjee Rd, Kolkata"
75 Palli,"1/1C Debendra Ghosh Rd Bhowanipore, Kolkata"
75 Palli (Port),"11C Ramanath Pal Rd Kidderpore, Kolkata"
76 Palli Club,"Bhowanipore, Kolkata"
78 Palli,"4/4 Aftab Mosque Lane Alipore, Kolkata"
9 Palli Sarbajanin Durgatsab,"Shobhabazar, Kolkata"
95 Palli,"70A Rahim Ostagar Rd Jodhpur Park, Kolkata"
Abasar Sarbojanin Durgotsab Samity,"Bhawanipore, Kolkata"
Acharya Prafulla Sangha,"Behala, Kolkata"
Adarsha Nagar Jagrata Sangha Club,"Behala, Kolkata"
Adarsha Pally,"Behala, Kolkata"
Adhibasibrinda - Kanai Dhar Lane,"Sealdah, Kolkata"
Adi Ballygunge Club,"Ballygunge, Kolkata"
Adi Ballygunge Sarbojanin,"41P Palm Ave Ballygunge Park, Kolkata"
Adi Naktala Sarbojanin Durgotsav Committee,"Naktala, Kolkata"
"Agnibina Sangha, Ajoynagar","Ajoynagar, Kolkata"
Agradut 76 Palli,"27 Dhirendranath Ghosh Rd Bhowanipore, Kolkata"
Agradut Udaya Sangha,"Bhowanipore, Kolkata"
Ahiritola Jubak Brinda,"83 Ahiritola St, Kolkata"
Ahiritola Jubak Brinda Durgapuja,"Ahiritola, Kolkata"
Ahiritola Sarbojonin Durgotsab Samity,North Kolkata
Aikatan Bhawanipore,"Bhawanipore, Kolkata"
Aikyatan Club Sarbojonin Durgotsav,"Kasba, Kolkata"
Ajeyo Sanghati,"47 Mahatma Gandhi Rd Haridevpur, Kolkata"
Akrur Dutta Durga Puja,"Sealdah, Kolkata"
Alipore 78 Pally Club,"Alipore, Kolkata"
Alipore Sarbojanin,"Alipore, Kolkata"
Alpha Atheletic Association,"Machuabazar, Kolkata"
Amardeep Sangha,"Paschim Putiary, Kolkata"
Amarendra Bhavan Durga Puja (Roy House Puja),"Behala, Kolkata"
"Amra Kajan Kalyan Samiti, Rajdanga","Kasba, Kolkata"
Annapurna Club,"Kadam Tala, Kolkata"
Arjunpur Amra Sabai Club,South-West Kolkata
Atghara Noapara Baroary,"New Town, Kolkata"
Avijatri Club,"Garfa, Kolkata"
B.K. Pal Park,"Shobhabazar, Kolkata"
Badamtala Ashar Sangha,"18-17, Nepal Bhattacharya St, Kalighat, Kolkata"
Badan Chand Roy Bari,"Sealdah, Kolkata"
Bagbazar Palli Durga Pujo,"Bagbazar, Kolkata"
Bagbazar Pally Puja,"Girish Ave Sovabazar, Kolkata"
Bagbazar Sarbojanin,"78 Bagbazar St, Kolkata"
Bagbazar Sarbojanin Durgotsav,North Kolkata
Baghajatin,"Chittaranjan Colony 6, Kolkata"
Baghajatin B&C Block Durga Puja,"Baghajatin, Kolkata"
Baghajatin Maitri Sansad,"Baghajatin, Kolkata"
Baghajatin Tarun Sangha,"Baghajatin, Kolkata"
Baghbazar Haldar Bari er Pujo,"17/1 Kaliprasad Chakraborty St, Baghbazar, Kolkata 700003"
Baghbazar Haldar Bari Puja,"Bagbazar, Kolkata"
Baishnab Ghata Patuli,"Block E Baishnabghata Patuli Twp, Kolkata"
Baishnabdas Mallick Bari Durga Puja,"Jorabagan, Kolkata"
Baishnabghata Yatra Shuru Sangha,"Garia, Kolkata"
Bakshi Bagan Club,"Behala, Kolkata"
Bakul Bagan Sarbojanin,"1A Rajshekhar Bose Sarani, Kolkata"
Bakul Bagan Sarbojanin Durgotsav,"Bhawanipore, Kolkata"
Ballygunge 21 Pally,"Ballygunge, Kolkata"
Ballygunge Cultural,"20 Lake View Rd, Kolkata"
Ballygunge Purba Pally,"Ballygunge, Kolkata"
Bandhudal Club,"Behala, Kolkata"
Bangur Avenue Pratirodh Bahini,"Lake Town, Kolkata"
Barisha 22 Pally Sarbojanin Durgotsab,"Behala, Kolkata"
Barisha Club,"Behala, Kolkata"
Barisha Ekta Sangha Club,"Behala, Kolkata"
Barisha Janakalyan Sangha,"Behala, Kolkata"
Barisha Kumarpara Youngs' Club,"Behala, Kolkata"
Barisha Netaji Sangha,"Behala, Kolkata"
Barisha Player's Corner,"Behala, Kolkata"
Barisha Sabuj Sangha,"Behala, Kolkata"
Barisha Sarbojonin,"Behala, Kolkata"
Barisha Shakti Sangha,"Behala, Kolkata"
Barisha Tapoban Club,"Behala, Kolkata"
Barisha Tarun Tirtha,"Behala, Kolkata"
Barisha Udayan Pally,"Behala, Kolkata"
Barisha Youth Club,"Behala, Kolkata"
Barisha Yuva Brinda,"13 Biren Roy Road W, Kolkata"
Basakbagan Sarbojanin Durgotsab,"South Dum Dum, Kolkata"
Basudevpur Pally Unnayan Samity,"Behala, Kolkata"
Beadon Street Sarbojanin Durgotsav,"Maniktala, Kolkata"
Beha Jagatram Mukherjee Durga Puja (Sonar Durga),"Behala, Kolkata"
Behala 11 Pally Club,"Behala, Kolkata"
Behala 29 Palli,"New Alipore, Kolkata"
Behala Aikya Sammilani,"Chamrapatti Behala, Kolkata"
Behala Arcadia Sarbojanin,"Behala, Kolkata"
Behala Arunoday Samity,"Behala, Kolkata"
Behala Bakultala Netaji Sangha,"Behala, Kolkata"
Behala Brahmo Samaj,"Behala, Kolkata"
Behala Buroshibtola Janakalyan Sangha,"Behala, Kolkata"
Behala Club Sarbojanin Durgotsav Committee,"Behala, Kolkata"
Behala Friends' Club,"Behala, Kolkata"
Behala Natun Dal,"12/2 Auddy Bagan Basti Behala, Kolkata"
Behala Natun Sangha,"Behala, Kolkata"
Behala Nutan Dal,"Behala, Kolkata"
Behala Santi Sangha,"Behala, Kolkata"
Behala Shree Sangha,"James Long Sarani Bhairabitala Behala, Kolkata"
Behala Sree Sangha,"Behala, Kolkata"
Behala Trishakti Sangha,"Behala, Kolkata"
Behala Uttor Halder Para Club,"Behala, Kolkata"
Behala Young,"19 SN Roy Rd Sahapur, Kolkata"
Behala Young Mens Association,"New Alipore, Kolkata"
Belgachia Olaichandi,"97 Khudiram Bose Rd Belgachia, Kolkata"
Belgachia Sadharan,"Tala Belgachia, Kolkata"
Belgachia Sadharon Durgotsav,North Kolkata
Belgachia Yuba Sammilani,"Belgachia, Kolkata"
Beltala Road Shakti Sangha,"Bhawanipore, Kolkata"
Beniatola Sarbojonin Durgotsab,"Shobhabazar, Kolkata"
Bhadreswar Sarbojanin Durga Puja,Bhadreswar
Bhagabati Park Durga Puja Committee,"Nagerbazar, Kolkata"
Bhawanipur Kishor Sangha,"Bhowanipore, Kolkata"
"Bholanath Dham, Dutta Bari","Maniktala, Kolkata"
Bhowanipur 75 Palli,"Bhowanipore, Kolkata"
Bhowanipur Durgotsav,"Chandra Nath Chatterjee St, Kolkata"
Bhowanipur Muktadal,"Bhawanipore, Kolkata"
Bhowanipur Sarbojanin Durgotsav,"Bhowanipore, Kolkata"
Bhowanipur Swadhin Sangha,"Bhowanipore, Kolkata"
Bidhan Nagar (S) Athletics Club,"Tiljala, Kolkata"
Bidhan Sarani Atlas Club,"Shyambazar, Kolkata"
Bijoygarh Bharat Mata,"Jadavpur, Kolkata"
Boral Sukanta Sangha,"Sukanta Pally, Lakepally Rd, Boral, Kolkata"
Bose Pukur Parijat Club,"Kasba, Kolkata"
Bosepukur Sitala Mandir,South Kolkata
Bosepukur Talbagan Sarbojanin Durga Puja,"Kasba, Kolkata"
Brahmapur Sanmilani Sangha,"Rajpur Sonarpur, Kolkata"
